Date,Type,Confirmation Code,Start Date,Nights,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Earnings Year
10/08/2022,Reservation,HM2JM4BTXD,10/07/2022,2,PHP,3045.8,,94.2,400,2022
10/05/2022,Payout,,,,PHP,,4119.59,,,
10/05/2022,Reservation,HMP8FF88AT,10/04/2022,3,PHP,4119.59,,127.41,350,2022
10/03/2022,Payout,,,,PHP,,2884.78,,,
10/03/2022,Reservation,HMTK5AYY5P,10/02/2022,2,PHP,2884.78,,89.22,400,2022
10/01/2022,Payout,,,,PHP,,700,,,
10/01/2022,Resolution Payout,HMND4PJTN8,09/30/2022,2,PHP,700,,,,2022
10/01/2022,Payout,,,,PHP,,3113.7,,,
10/01/2022,Reservation,HMND4PJTN8,09/30/2022,2,PHP,3113.7,,96.3,400,2022
09/30/2022,Payout,,,,PHP,,1649,,,
09/30/2022,Reservation,HMRD5BDH8Y,09/29/2022,1,PHP,1649,,51,400,2022
09/27/2022,Payout,,,,PHP,,4410.59,,,
09/27/2022,Reservation,HMAJHRZRSP,09/26/2022,3,PHP,4410.59,,136.41,350,2022
09/24/2022,Payout,,,,PHP,,3511.4,,,
09/24/2022,Reservation,HMBNRYEHN9,09/23/2022,2,PHP,3511.4,,108.6,400,2022
09/22/2022,Payout,,,,PHP,,2887.69,,,
09/22/2022,Reservation,HMX352S489,09/21/2022,2,PHP,2887.69,,89.31,400,2022
09/20/2022,Payout,,,,PHP,,2897.39,,,
09/20/2022,Reservation,HMBACQ4XPJ,09/19/2022,2,PHP,2897.39,,89.61,400,2022
09/17/2022,Payout,,,,PHP,,4499.83,,,
09/17/2022,Reservation,HMTCDBYHBC,09/16/2022,3,PHP,4499.83,,139.17,350,2022
09/15/2022,Payout,,,,PHP,,2884.78,,,
09/15/2022,Reservation,HMSFDE9AFY,09/14/2022,2,PHP,2884.78,,89.22,400,2022
09/12/2022,Payout,,,,PHP,,4121.53,,,
09/12/2022,Reservation,HMQHSXCTS9,09/11/2022,3,PHP,4121.53,,127.47,400,2022
09/10/2022,Payout,,,,PHP,,2859.56,,,
09/10/2022,Reservation,HM4CSFP5E9,09/09/2022,2,PHP,2859.56,,88.44,350,2022
09/07/2022,Payout,,,,PHP,,2714.06,,,
09/07/2022,Reservation,HMDNM8QZH3,09/06/2022,2,PHP,2714.06,,83.94,400,2022
09/04/2022,Payout,,,,PHP,,3180.63,,,
09/04/2022,Reservation,HM9ZB59NBQ,09/03/2022,2,PHP,3180.63,,98.37,350,2022
